270101 N- ----NSF- ----NSF Ἀποκάλυψις Ἀποκάλυψις ἀποκάλυψις ἀποκάλυψις
270511 N- ----ASF- ----ASF φωνὴν φωνὴν φωνήν φωνή
270511 N- ----GPM- ----GPX ἀγγέλων ἀγγέλων ἀγγέλων ἄγγελος
270511 A- ----GPM- ----GPX πολλῶν πολλῶν πολλῶν πολύς
270511 P- -------- ------- κύκλῳ κύκλῳ κύκλῳ κύκλῳ
270511 RA ----GSM- ----GSY τοῦ τοῦ τοῦ ὁ
270511 N- ----GSM- ----GSY θρόνου θρόνου θρόνου θρόνος
270511 C- -------- ------- καὶ καὶ καί καί
270511 RA ----GPN- ----GPX τῶν τῶν τῶν ὁ
270511 N- ----GPN- ----GPX ζῴων ζῴων ζῴων ζῷον
270511 C- -------- ------- καὶ καὶ καί καί
270511 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
270511 A- ----GPM- ----GPX πρεσβυτέρων, πρεσβυτέρων πρεσβυτέρων πρεσβύτερος
270511 C- -------- ------- καὶ καὶ καί καί
270511 V- 3IAI-S-- IAI3-S- ἦν ἦν ἦν εἰμί
270511 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270511 N- ----NSM- ----NSM ἀριθμὸς ἀριθμὸς ἀριθμός ἀριθμός
270511 RP ----GPM- ----GPX αὐτῶν αὐτῶν αὐτῶν αὐτός
270511 N- ----NPF- ----NPF μυριάδες μυριάδες μυριάδες μυριάς
270511 N- ----GPF- ----GPX μυριάδων μυριάδων μυριάδων μυριάς
270511 C- -------- ------- καὶ καὶ καί καί
270511 N- ----NPF- ----NPF χιλιάδες χιλιάδες χιλιάδες χιλιάς
270511 N- ----GPF- ----GPX χιλιάδων, χιλιάδων χιλιάδων χιλιάς
270512 V- -PAPNPM- PAP-NPM λέγοντες λέγοντες λέγοντες λέγω
270512 N- ----DSF- ----DSF φωνῇ φωνῇ φωνῇ φωνή
270512 A- ----DSF- ----DSF μεγάλῃ· μεγάλῃ μεγάλῃ μέγας
270512 A- ----NSN- ----CSN Ἄξιόν Ἄξιόν ἄξιον ἄξιος
270512 V- 3PAI-S-- PAI3-S- ἐστιν ἐστιν ἐστί(ν) εἰμί
270512 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270512 N- ----NSN- ----CSN ἀρνίον ἀρνίον ἀρνίον ἀρνίον
270512 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270512 V- -XPPNSN- XMP-CSN ἐσφαγμένον ἐσφαγμένον ἐσφαγμένον σφάζω
270512 V- -AAN---- XMP-CSN λαβεῖν λαβεῖν λαβεῖν λαμβάνω
270512 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270512 N- ----ASF- ----ASF δύναμιν δύναμιν δύναμιν δύναμις
270512 C- -------- ------- ⸀καὶ καὶ καί καί
270512 N- ----ASM- ----ASM πλοῦτον πλοῦτον πλοῦτον πλοῦτος
270512 C- -------- ------- καὶ καὶ καί καί
270512 N- ----ASF- ----ASF σοφίαν σοφίαν σοφίαν σοφία
270512 C- -------- ------- καὶ καὶ καί καί
270512 N- ----ASF- ----ASF ἰσχὺν ἰσχὺν ἰσχύν ἰσχύς
270512 C- -------- ------- καὶ καὶ καί καί
270512 N- ----ASF- ----ASF τιμὴν τιμὴν τιμήν τιμή
270512 C- -------- ------- καὶ καὶ καί καί
270512 N- ----ASF- ----ASF δόξαν δόξαν δόξαν δόξα
270512 C- -------- ------- καὶ καὶ καί καί
270512 N- ----ASF- ----ASF εὐλογίαν. εὐλογίαν εὐλογίαν εὐλογία
270513 C- -------- ------- καὶ καὶ καί καί
270513 A- ----ASN- ----CSN πᾶν πᾶν πᾶν πᾶς
270513 N- ----ASN- ----CSN κτίσμα κτίσμα κτίσμα κτίσμα
270513 RR ----NSN- ----CSN ὃ ὃ ὅ ὅς
270513 P- -------- ------- ἐν ἐν ἐν ἐν
270513 RA ----DSM- ----DSY τῷ τῷ τῷ ὁ
270513 N- ----DSM- ----DSY οὐρανῷ οὐρανῷ οὐρανῷ οὐρανός
270513 C- -------- ------- καὶ καὶ καί καί
270513 P- -------- ------- ἐπὶ ἐπὶ ἐπί ἐπί
270513 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270513 N- ----GSF- ----GSF γῆς γῆς γῆς γῆ
270513 C- -------- ------- καὶ καὶ καί καί
270513 P- -------- ------- ὑποκάτω ὑποκάτω ὑποκάτω ὑποκάτω
270513 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270513 N- ----GSF- ----GSF γῆς γῆς γῆς γῆ
270513 C- -------- ------- καὶ καὶ καί καί
270513 P- -------- ------- ἐπὶ ἐπὶ ἐπί ἐπί
270513 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270513 N- ----GSF- ----GSF ⸀θαλάσσης, θαλάσσης θαλάσσης θάλασσα
270513 C- -------- ------- καὶ καὶ καί καί
270513 RA ----APN- ----CPN τὰ τὰ τά ὁ
270513 P- -------- ------- ἐν ἐν ἐν ἐν
270513 RP ----DPM- ----DPY αὐτοῖς αὐτοῖς αὐτοῖς αὐτός
270513 A- ----APN- ----CPN ⸀πάντα, πάντα πάντα πᾶς
270513 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270513 V- -PAPAPM- PAP-APM λέγοντας· λέγοντας λέγοντας λέγω
270513 RA ----DSM- ----DSY Τῷ Τῷ τῷ ὁ
270513 V- -PMPDSM- PMP-DSY καθημένῳ καθημένῳ καθημένῳ κάθημαι
270513 P- -------- ------- ἐπὶ ἐπὶ ἐπί ἐπί
270513 RA ----DSM- ----DSY ⸂τῷ τῷ τῷ ὁ
270513 N- ----DSM- ----DSY θρόνῳ⸃ θρόνῳ θρόνῳ θρόνος
270513 C- -------- ------- καὶ καὶ καί καί
270513 RA ----DSN- ----DSY τῷ τῷ τῷ ὁ
270513 N- ----DSN- ----DSY ἀρνίῳ ἀρνίῳ ἀρνίῳ ἀρνίον
270513 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270513 N- ----NSF- ----NSF εὐλογία εὐλογία εὐλογία εὐλογία
270513 C- -------- ------- καὶ καὶ καί καί
270513 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270513 N- ----NSF- ----NSF τιμὴ τιμὴ τιμή τιμή
270513 C- -------- ------- καὶ καὶ καί καί
270513 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
270513 N- ----NSF- ----NSF δόξα δόξα δόξα δόξα
270513 C- -------- ------- καὶ καὶ καί καί
270513 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270513 N- ----NSN- ----CSN κράτος κράτος κράτος κράτος
270513 P- -------- ------- εἰς εἰς εἰς εἰς
270513 RA ----APM- ----APM τοὺς τοὺς τούς ὁ
270513 N- ----APM- ----APM αἰῶνας αἰῶνας αἰῶνας αἰών
270513 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
270513 N- ----GPM- ----GPX ⸀αἰώνων. αἰώνων αἰώνων αἰών
270514 C- -------- ------- καὶ καὶ καί καί
270514 RA ----NPN- ----CPN τὰ τὰ τά ὁ
270514 A- ----NPN- ----CPN τέσσαρα τέσσαρα τέσσαρα τέσσαρες
270514 N- ----NPN- ----CPN ζῷα ζῷα ζῷα ζῷον
270514 V- 3IAI-P-- IAI3-P- ⸀ἔλεγον· ἔλεγον ἔλεγον λέγω
270514 X- -------- ------- Ἀμήν. Ἀμήν ἀμήν ἀμήν
270514 C- -------- ------- καὶ καὶ καί καί
270514 RA ----NPM- ----NPM οἱ οἱ οἱ ὁ
270514 A- ----NPM- ----NPM πρεσβύτεροι πρεσβύτεροι πρεσβύτεροι πρεσβύτερος
270514 V- 3AAI-P-- AAI3-P- ἔπεσαν ἔπεσαν ἔπεσαν πίπτω
270514 C- -------- ------- καὶ καὶ καί καί
270514 V- 3AAI-P-- AAI3-P- προσεκύνησαν. προσεκύνησαν προσεκύνησαν προσκυνέω
270601 C- -------- ------- Καὶ Καὶ καί καί
270601 V- 1AAI-S-- AAI1-S- εἶδον εἶδον εἶδον ὁράω
270601 C- -------- ------- ⸀ὅτε ὅτε ὅτε ὅτε
270601 V- 3AAI-S-- AAI3-S- ἤνοιξεν ἤνοιξεν ἤνοιξε(ν) ἀνοίγω
270601 RA ----NSN- ----CSN τὸ τὸ τό ὁ
270601 N- ----NSN- ----CSN ἀρνίον ἀρνίον ἀρνίον ἀρνίον
270601 A- ----ASF- ----ASF μίαν μίαν μίαν εἷς
270601 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
270601 RA ----GPF- ----GPX τῶν τῶν τῶν ὁ
270601 A- ----GPF- ------- ἑπτὰ ἑπτὰ ἑπτά ἑπτά
270601 N- ----GPF- ----GPX σφραγίδων, σφραγίδων σφραγίδων σφραγίς
270601 C- -------- ------- καὶ καὶ καί καί
270601 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270601 A- ----GSN- ----GSY ἑνὸς ἑνὸς ἑνός εἷς
270601 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
270601 RA ----GPN- ----GPX τῶν τῶν τῶν ὁ
270601 A- ----GPN- ----GPX τεσσάρων τεσσάρων τεσσάρων τέσσαρες
270601 N- ----GPN- ----GPX ζῴων ζῴων ζῴων ζῷον
270601 V- -PAPGSN- PAP-GSY λέγοντος λέγοντος λέγοντος λέγω
270601 C- -------- ------- ὡς ὡς ὡς ὡς
270601 N- ----DSF- ----DSF φωνῇ φωνῇ φωνῇ φωνή
270601 N- ----GSF- ----GSF βροντῆς· βροντῆς βροντῆς βροντή
270601 V- 2PMD-S-- PMD2-S- ⸀Ἔρχου. Ἔρχου ἔρχου ἔρχομαι
270602 C- -------- ------- καὶ καὶ καί καί
270602 V- 1AAI-S-- AAI1-S- ⸂εἶδον, εἶδον εἶδον ὁράω
270602 C- -------- ------- καὶ⸃ καὶ καί καί
270602 X- -------- ------- ἰδοὺ ἰδοὺ ἰδού ἰδού
270602 N- ----NSM- ----NSM ἵππος ἵππος ἵππος ἵππος
270602 A- ----NSM- ----NSM λευκός, λευκός λευκός λευκός
270602 C- -------- ------- καὶ καὶ καί καί
270602 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270602 V- -PMPNSM- PMP-NSM καθήμενος καθήμενος καθήμενος κάθημαι
270602 P- -------- ------- ἐπ’ ἐπ’ ἐπί ἐπί
270602 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
270602 V- -PAPNSM- PAP-NSM ἔχων ἔχων ἔχων ἔχω
270602 N- ----ASN- ----CSN τόξον, τόξον τόξον τόξον
270602 C- -------- ------- καὶ καὶ καί καί
270602 V- 3API-S-- API3-S- ἐδόθη ἐδόθη ἐδόθη δίδωμι
270602 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
270602 N- ----NSM- ----NSM στέφανος, στέφανος στέφανος στέφανος
270602 C- -------- ------- καὶ καὶ καί καί
270602 V- 3AAI-S-- AAI3-S- ἐξῆλθεν ἐξῆλθεν ἐξῆλθε(ν) ἐξέρχομαι
270602 V- -PAPNSM- PAP-NSM νικῶν νικῶν νικῶν νικάω
270602 C- -------- ------- καὶ καὶ καί καί
270602 C- -------- ------- ἵνα ἵνα ἵνα ἵνα
270602 V- 3AAS-S-- AAS3-S- νικήσῃ. νικήσῃ νικήσῃ νικάω
270603 C- -------- ------- Καὶ Καὶ καί καί
270603 C- -------- ------- ὅτε ὅτε ὅτε ὅτε
270603 V- 3AAI-S-- AAI3-S- ἤνοιξεν ἤνοιξεν ἤνοιξε(ν) ἀνοίγω
270603 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270603 N- ----ASF- ----ASF ⸂σφραγῖδα σφραγῖδα σφραγῖδα σφραγίς
270603 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270603 A- ----ASF- ----ASF δευτέραν⸃, δευτέραν δευτέραν δεύτερος
270603 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270603 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
270603 A- ----GSN- ----GSY δευτέρου δευτέρου δευτέρου δεύτερος
270603 N- ----GSN- ----GSY ζῴου ζῴου ζῴου ζῷον
270603 V- -PAPGSN- PAP-GSY λέγοντος· λέγοντος λέγοντος λέγω
270603 V- 2PMD-S-- PMD2-S- Ἔρχου. Ἔρχου ἔρχου ἔρχομαι
270604 C- -------- ------- καὶ καὶ καί καί
270604 V- 3AAI-S-- AAI3-S- ἐξῆλθεν ἐξῆλθεν ἐξῆλθε(ν) ἐξέρχομαι
270604 A- ----NSM- ----NSM ἄλλος ἄλλος ἄλλος ἄλλος
270604 N- ----NSM- ----NSM ἵππος ἵππος ἵππος ἵππος
270604 A- ----NSM- ----NSM πυρρός, πυρρός πυρρός πυρρός
270604 C- -------- ------- καὶ καὶ καί καί
270604 RA ----DSM- ----DSY τῷ τῷ τῷ ὁ
270604 V- -PMPDSM- PMP-DSY καθημένῳ καθημένῳ καθημένῳ κάθημαι
270604 P- -------- ------- ἐπ’ ἐπ’ ἐπί ἐπί
270604 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
270604 V- 3API-S-- API3-S- ἐδόθη ἐδόθη ἐδόθη δίδωμι
270604 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
270604 V- -AAN---- ----DSY λαβεῖν λαβεῖν λαβεῖν λαμβάνω
270604 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270604 N- ----ASF- ----ASF εἰρήνην εἰρήνην εἰρήνην εἰρήνη
270604 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
270604 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270604 N- ----GSF- ----GSF γῆς γῆς γῆς γῆ
270604 C- -------- ------- ⸀καὶ καὶ καί καί
270604 C- -------- ------- ἵνα ἵνα ἵνα ἵνα
270604 RP ----APM- ----APM ἀλλήλους ἀλλήλους ἀλλήλους ἀλλήλων
270604 V- 3FAI-P-- FAI3-P- ⸀σφάξουσιν, σφάξουσιν σφάξουσι(ν) σφάζω
270604 C- -------- ------- καὶ καὶ καί καί
270604 V- 3API-S-- API3-S- ἐδόθη ἐδόθη ἐδόθη δίδωμι
270604 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
270604 N- ----NSF- ----NSF μάχαιρα μάχαιρα μάχαιρα μάχαιρα
270604 A- ----NSF- ----NSF μεγάλη. μεγάλη μεγάλη μέγας
270605 C- -------- ------- Καὶ Καὶ καί καί
270605 C- -------- ------- ὅτε ὅτε ὅτε ὅτε
270605 V- 3AAI-S-- AAI3-S- ἤνοιξε ἤνοιξε ἤνοιξε(ν) ἀνοίγω
270605 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270605 N- ----ASF- ----ASF σφραγῖδα σφραγῖδα σφραγῖδα σφραγίς
270605 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270605 A- ----ASF- ----ASF τρίτην, τρίτην τρίτην τρίτος
270605 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270605 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
270605 A- ----GSN- ----GSY τρίτου τρίτου τρίτου τρίτος
270605 N- ----GSN- ----GSY ζῴου ζῴου ζῴου ζῷον
270605 V- -PAPGSN- PAP-GSY λέγοντος· λέγοντος λέγοντος λέγω
270605 V- 2PMD-S-- PMD2-S- Ἔρχου. Ἔρχου ἔρχου ἔρχομαι
270605 C- -------- ------- καὶ καὶ καί καί
270605 V- 1AAI-S-- AAI1-S- ⸀εἶδον, εἶδον εἶδον ὁράω
270605 C- -------- ------- καὶ καὶ καί καί
270605 X- -------- ------- ἰδοὺ ἰδοὺ ἰδού ἰδού
270605 N- ----NSM- ----NSM ἵππος ἵππος ἵππος ἵππος
270605 A- ----NSM- ----NSM μέλας, μέλας μέλας μέλας
270605 C- -------- ------- καὶ καὶ καί καί
270605 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270605 V- -PMPNSM- PMP-NSM καθήμενος καθήμενος καθήμενος κάθημαι
270605 P- -------- ------- ἐπ’ ἐπ’ ἐπί ἐπί
270605 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
270605 V- -PAPNSM- PAP-NSM ἔχων ἔχων ἔχων ἔχω
270605 N- ----ASM- ----ASM ζυγὸν ζυγὸν ζυγόν ζυγός
270605 P- -------- ------- ἐν ἐν ἐν ἐν
270605 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
270605 N- ----DSF- ----DSF χειρὶ χειρὶ χειρί χείρ
270605 RP ----GSM- ----GSY αὐτοῦ. αὐτοῦ αὐτοῦ αὐτός
270606 C- -------- ------- καὶ καὶ καί καί
270606 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270606 C- -------- ------- ⸀ὡς ὡς ὡς ὡς
270606 N- ----ASF- ----ASF φωνὴν φωνὴν φωνήν φωνή
270606 P- -------- ------- ἐν ἐν ἐν ἐν
270606 A- ----DSN- ----DSY μέσῳ μέσῳ μέσῳ μέσος
270606 RA ----GPN- ----GPX τῶν τῶν τῶν ὁ
270606 A- ----GPN- ----GPX τεσσάρων τεσσάρων τεσσάρων τέσσαρες
270606 N- ----GPN- ----GPX ζῴων ζῴων ζῴων ζῷον
270606 V- -PAPASF- PAP-ASF λέγουσαν· λέγουσαν λέγουσαν λέγω
270606 N- ----NSF- ----NSF Χοῖνιξ Χοῖνιξ χοῖνιξ χοῖνιξ
270606 N- ----GSM- ----GSY σίτου σίτου σίτου σῖτος
270606 N- ----GSN- ----GSY δηναρίου, δηναρίου δηναρίου δηνάριον
270606 C- -------- ------- καὶ καὶ καί καί
270606 A- ----NPF- ----NPF τρεῖς τρεῖς τρεῖς τρεῖς
270606 N- ----NPF- ----NPF χοίνικες χοίνικες χοίνικες χοῖνιξ
270606 N- ----GPF- ----GPX ⸀κριθῶν κριθῶν κριθῶν κριθή
270606 N- ----GSN- ----GSY δηναρίου· δηναρίου δηναρίου δηνάριον
270606 C- -------- ------- καὶ καὶ καί καί
270606 RA ----ASN- ----CSN τὸ τὸ τό ὁ
270606 N- ----ASN- ----CSN ἔλαιον ἔλαιον ἔλαιον ἔλαιον
270606 C- -------- ------- καὶ καὶ καί καί
270606 RA ----ASM- ----ASM τὸν τὸν τόν ὁ
270606 N- ----ASM- ----ASM οἶνον οἶνον οἶνον οἶνος
270606 D- -------- ------- μὴ μὴ μή μή
270606 V- 2AAS-S-- AAS2-S- ἀδικήσῃς. ἀδικήσῃς ἀδικήσῃς ἀδικέω
270607 C- -------- ------- Καὶ Καὶ καί καί
270607 C- -------- ------- ὅτε ὅτε ὅτε ὅτε
270607 V- 3AAI-S-- AAI3-S- ἤνοιξεν ἤνοιξεν ἤνοιξε(ν) ἀνοίγω
270607 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270607 N- ----ASF- ----ASF σφραγῖδα σφραγῖδα σφραγῖδα σφραγίς
270607 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270607 A- ----ASF- ----ASF τετάρτην, τετάρτην τετάρτην τέταρτος
270607 V- 1AAI-S-- AAI1-S- ἤκουσα ἤκουσα ἤκουσα ἀκούω
270607 N- ----ASF- ----ASF ⸀φωνὴν φωνὴν φωνήν φωνή
270607 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
270607 A- ----GSN- ----GSY τετάρτου τετάρτου τετάρτου τέταρτος
270607 N- ----GSN- ----GSY ζῴου ζῴου ζῴου ζῷον
270607 V- -PAPGSN- PAP-GSY λέγοντος· λέγοντος λέγοντος λέγω
270607 V- 2PMD-S-- PMD2-S- ⸀Ἔρχου. Ἔρχου ἔρχου ἔρχομαι
270608 C- -------- ------- καὶ καὶ καί καί
270608 V- 1AAI-S-- AAI1-S- ⸂εἶδον, εἶδον εἶδον ὁράω
270608 C- -------- ------- καὶ⸃ καὶ καί καί
270608 X- -------- ------- ἰδοὺ ἰδοὺ ἰδού ἰδού
270608 N- ----NSM- ----NSM ἵππος ἵππος ἵππος ἵππος
270608 A- ----NSM- ----NSM χλωρός, χλωρός χλωρός χλωρός
270608 C- -------- ------- καὶ καὶ καί καί
270608 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270608 V- -PMPNSM- PMP-NSM καθήμενος καθήμενος καθήμενος κάθημαι
270608 P- -------- ------- ἐπάνω ἐπάνω ἐπάνω ἐπάνω
270608 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
270608 N- ----NSN- ----CSN ὄνομα ὄνομα ὄνομα ὄνομα
270608 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
270608 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270608 N- ----NSM- ----NSM Θάνατος, Θάνατος θάνατος θάνατος
270608 C- -------- ------- καὶ καὶ καί καί
270608 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270608 N- ----NSM- ----NSM ᾅδης ᾅδης ᾅδης ᾅδης
270608 V- 3IAI-S-- IAI3-S- ἠκολούθει ἠκολούθει ἠκολούθει ἀκολουθέω
270608 P- -------- ------- ⸂μετ’ μετ’ μετά μετά
270608 RP ----GSM- ----GSY αὐτοῦ⸃, αὐτοῦ αὐτοῦ αὐτός
270608 C- -------- ------- καὶ καὶ καί καί
270608 V- 3API-S-- API3-S- ἐδόθη ἐδόθη ἐδόθη δίδωμι
270608 RP ----DPM- ----DPY ⸀αὐτοῖς αὐτοῖς αὐτοῖς αὐτός
270608 N- ----NSF- ----NSF ἐξουσία ἐξουσία ἐξουσία ἐξουσία
270608 P- -------- ------- ἐπὶ ἐπὶ ἐπί ἐπί
270608 RA ----ASN- ----CSN τὸ τὸ τό ὁ
270608 A- ----ASN- ----CSN τέταρτον τέταρτον τέταρτον τέταρτος
270608 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270608 N- ----GSF- ----GSF γῆς, γῆς γῆς γῆ
270608 V- -AAN---- AAN---- ἀποκτεῖναι ἀποκτεῖναι ἀποκτεῖναι ἀποκτείνω
270608 P- -------- ------- ἐν ἐν ἐν ἐν
270608 N- ----DSF- ----DSF ῥομφαίᾳ ῥομφαίᾳ ῥομφαίᾳ ῥομφαία
270608 C- -------- ------- καὶ καὶ καί καί
270608 P- -------- ------- ἐν ἐν ἐν ἐν
270608 N- ----DSM- ----DSY λιμῷ λιμῷ λιμῷ λιμός
270608 C- -------- ------- καὶ καὶ καί καί
270608 P- -------- ------- ἐν ἐν ἐν ἐν
270608 N- ----DSM- ----DSY θανάτῳ θανάτῳ θανάτῳ θάνατος
270608 C- -------- ------- καὶ καὶ καί καί
270608 P- -------- ------- ὑπὸ ὑπὸ ὑπό ὑπό
270608 RA ----GPN- ----GPX τῶν τῶν τῶν ὁ
270608 N- ----GPN- ----GPX θηρίων θηρίων θηρίων θηρίον
270608 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270608 N- ----GSF- ----GSF γῆς. γῆς γῆς γῆ
270609 C- -------- ------- Καὶ Καὶ καί καί
270609 C- -------- ------- ὅτε ὅτε ὅτε ὅτε
270609 V- 3AAI-S-- AAI3-S- ἤνοιξεν ἤνοιξεν ἤνοιξε(ν) ἀνοίγω
270609 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270609 A- ----ASF- ----ASF πέμπτην πέμπτην πέμπτην πέμπτος
270609 N- ----ASF- ----ASF σφραγῖδα, σφραγῖδα σφραγῖδα σφραγίς
270609 V- 1AAI-S-- AAI1-S- εἶδον εἶδον εἶδον ὁράω
270609 P- -------- ------- ὑποκάτω ὑποκάτω ὑποκάτω ὑποκάτω
270609 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
270609 N- ----GSN- ----GSY θυσιαστηρίου θυσιαστηρίου θυσιαστηρίου θυσιαστήριον
270609 RA ----APF- ----APF τὰς τὰς τάς ὁ
270609 N- ----APF- ----APF ψυχὰς ψυχὰς ψυχάς ψυχή
270609 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
270609 V- -XPPGPM- XMP-GPX ἐσφαγμένων ἐσφαγμένων ἐσφαγμένων σφάζω
270609 P- -------- ------- διὰ διὰ διά διά
270609 RA ----ASM- ----ASM τὸν τὸν τόν ὁ
270609 N- ----ASM- ----ASM λόγον λόγον λόγον λόγος
270609 RA ----GSM- ----GSY τοῦ τοῦ τοῦ ὁ
270609 N- ----GSM- ----GSY θεοῦ θεοῦ θεοῦ θεός
270609 C- -------- ------- καὶ καὶ καί καί
270609 P- -------- ------- διὰ διὰ διά διά
270609 RA ----ASF- ----ASF τὴν τὴν τήν ὁ
270609 N- ----ASF- ----ASF ⸀μαρτυρίαν μαρτυρίαν μαρτυρίαν μαρτυρία
270609 RR ----ASF- ----ASF ἣν ἣν ἥν ὅς
270609 V- 3IAI-P-- IAI3-P- εἶχον. εἶχον εἶχον ἔχω
270610 C- -------- ------- καὶ καὶ καί καί
270610 V- 3AAI-P-- AAI3-P- ἔκραξαν ἔκραξαν ἔκραξαν κράζω
270610 N- ----DSF- ----DSF φωνῇ φωνῇ φωνῇ φωνή
270610 A- ----DSF- ----DSF μεγάλῃ μεγάλῃ μεγάλῃ μέγας
270610 V- -PAPNPM- PAP-NPM λέγοντες· λέγοντες λέγοντες λέγω
270610 P- -------- ------- Ἕως Ἕως ἕως ἕως
270610 D- -------- ------- πότε, πότε πότε πότε
270610 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270610 N- ----NSM- ----NSM δεσπότης δεσπότης δεσπότης δεσπότης
270610 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270610 A- ----NSM- ----NSM ἅγιος ἅγιος ἅγιος ἅγιος
270610 C- -------- ------- καὶ καὶ καί καί
270610 A- ----NSM- ----NSM ἀληθινός, ἀληθινός ἀληθινός ἀληθινός
270610 D- -------- ------- οὐ οὐ οὐ οὐ
270610 V- 2PAI-S-- PAI2-S- κρίνεις κρίνεις κρίνεις κρίνω
270610 C- -------- ------- καὶ καὶ καί καί
270610 V- 2PAI-S-- PAI2-S- ἐκδικεῖς ἐκδικεῖς ἐκδικεῖς ἐκδικέω
270610 RA ----ASN- ----CSN τὸ τὸ τό ὁ
270610 N- ----ASN- ----CSN αἷμα αἷμα αἷμα αἷμα
270610 RP ----GP-- ----GP- ἡμῶν ἡμῶν ἡμῶν ἐγώ
270610 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
270610 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
270610 V- -PAPGPM- PAP-GPY κατοικούντων κατοικούντων κατοικούντων κατοικέω
270610 P- -------- ------- ἐπὶ ἐπὶ ἐπί ἐπί
270610 RA ----GSF- ----GSF τῆς τῆς τῆς ὁ
270610 N- ----GSF- ----GSF γῆς; γῆς γῆς γῆ
270611 C- -------- ------- καὶ καὶ καί καί
270611 V- 3API-S-- API3-S- ἐδόθη ἐδόθη ἐδόθη δίδωμι
270611 RP ----DPM- ----DPY αὐτοῖς αὐτοῖς αὐτοῖς αὐτός
270611 A- ----DSM- ----DSY ἑκάστῳ ἑκάστῳ ἑκάστῳ ἕκαστος
270611 N- ----NSF- ----NSF στολὴ στολὴ στολή στολή
270611 A- ----NSF- ----NSF λευκή, λευκή λευκή λευκός
270611 C- -------- ------- καὶ καὶ καί καί
270611 V- 3API-S-- API3-S- ἐρρέθη ἐρρέθη ἐρρέθη λέγω
270611 RP ----DPM- ----DPY αὐτοῖς αὐτοῖς αὐτοῖς αὐτός
270611 C- -------- ------- ἵνα ἵνα ἵνα ἵνα
